<Unicode>,<Unicode Name>,<Glyph Name>,<Adobe Character Sets>,<Unicode block>,<Non-Unicode type>,"<Status> # A=Already in, T=To be added, C=Under consideration, D=To be deleted","<Source> # R=Regular, B=Bold, I=Italic, X=Bold Italic, N=New, S=Special",<Fira Glyph>
U+0139,LATIN CAPITAL LETTER L WITH ACUTE,uni0139,AL3,Latin Extended-A,,A,R,
U+013A,LATIN SMALL LETTER L WITH ACUTE,uni013A,AL3,Latin Extended-A,,A,R,
U+013B,LATIN CAPITAL LETTER L WITH CEDILLA,uni013B,AL3,Latin Extended-A,,A,R,
U+013C,LATIN SMALL LETTER L WITH CEDILLA,uni013C,AL3,Latin Extended-A,,A,R,
U+013D,LATIN CAPITAL LETTER L WITH CARON,uni013D,AL3,Latin Extended-A,,A,R,
U+013E,LATIN SMALL LETTER L WITH CARON,uni013E,AL3,Latin Extended-A,,A,R,
U+0141,LATIN CAPITAL LETTER L WITH STROKE,uni0141,AL3,Latin Extended-A,,A,R,
U+0142,LATIN SMALL LETTER L WITH STROKE,uni0142,AL3,Latin Extended-A,,A,R,
U+0143,LATIN CAPITAL LETTER N WITH ACUTE,uni0143,AL3,Latin Extended-A,,A,R,
U+0144,LATIN SMALL LETTER N WITH ACUTE,uni0144,AL3,Latin Extended-A,,A,R,
U+0145,LATIN CAPITAL LETTER N WITH CEDILLA,uni0145,AL3,Latin Extended-A,,A,R,
U+0146,LATIN SMALL LETTER N WITH CEDILLA,uni0146,AL3,Latin Extended-A,,A,R,
U+0147,LATIN CAPITAL LETTER N WITH CARON,uni0147,AL3,Latin Extended-A,,A,R,
U+0148,LATIN SMALL LETTER N WITH CARON,uni0148,AL3,Latin Extended-A,,A,R,
U+014C,LATIN CAPITAL LETTER O WITH MACRON,uni014C,AL3,Latin Extended-A,,A,R,
U+014D,LATIN SMALL LETTER O WITH MACRON,uni014D,AL3,Latin Extended-A,,A,R,
U+0150,LATIN CAPITAL LETTER O WITH DOUBLE ACUTE,uni0150,AL3,Latin Extended-A,,A,R,
U+0151,LATIN SMALL LETTER O WITH DOUBLE ACUTE,uni0151,AL3,Latin Extended-A,,A,R,
U+0152,LATIN CAPITAL LIGATURE OE,uni0152,AL3,Latin Extended-A,,A,R,
U+0153,LATIN SMALL LIGATURE OE,uni0153,AL3,Latin Extended-A,,A,R,
U+0154,LATIN CAPITAL LETTER R WITH ACUTE,uni0154,AL3,Latin Extended-A,,A,R,
U+0155,LATIN SMALL LETTER R WITH ACUTE,uni0155,AL3,Latin Extended-A,,A,R,
U+0156,LATIN CAPITAL LETTER R WITH CEDILLA,uni0156,AL3,Latin Extended-A,,A,R,
U+0157,LATIN SMALL LETTER R WITH CEDILLA,uni0157,AL3,Latin Extended-A,,A,R,
U+0158,LATIN CAPITAL LETTER R WITH CARON,uni0158,AL3,Latin Extended-A,,A,R,
U+0159,LATIN SMALL LETTER R WITH CARON,uni0159,AL3,Latin Extended-A,,A,R,
